Identifier,Original ARK/DOI,Work Title,Minted DOI,Status,Reason,URL
et003025.jpg,,ET 3-25,https://doi.org/10.60807/xl5t9k,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46661~1256049
et003027.jpg,,ET 3-27,https://doi.org/10.60807/uhdy0p,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46662~1256048
et003019.jpg,,ET 3-19,https://doi.org/10.60807/842w67,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46658~1256052
et003023.jpg,,ET 3-23,https://doi.org/10.60807/yv5xsi,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46660~1256050
et003015.jpg,,ET 3-15,https://doi.org/10.60807/w15k4k,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46656~1256054
et002054.jpg,,ET 2-54,https://doi.org/10.60807/88rg24,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46640~1256070
et002052.jpg,,ET 2-52,https://doi.org/10.60807/f7suv5,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46639~1256071
et002046.jpg,,ET 2-46,https://doi.org/10.60807/5qp0av,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46636~1256074
et002062.jpg,,ET 2-62,https://doi.org/10.60807/1v5p11,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46644~1256066
et002064.jpg,,ET 2-64,https://doi.org/10.60807/w04y9q,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46645~1256065
et003005.jpg,,ET 3-05,https://doi.org/10.60807/v51stf,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46651~1256059
et003003.jpg,,ET 3-03,https://doi.org/10.60807/abgucg,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46650~1256060
et002044.jpg,,ET 2-44,https://doi.org/10.60807/y70c64,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46635~1256075
et002048.jpg,,ET 2-48,https://doi.org/10.60807/kupshq,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46637~1256073
et003007.jpg,,ET 3-07,https://doi.org/10.60807/6efrb3,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46652~1256058
et003001.jpg,,ET 3-01,https://doi.org/10.60807/es501i,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46649~1256061
et002040.jpg,,ET 2-40,https://doi.org/10.60807/z4pd2x,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46633~1256077
et002050.jpg,,ET 2-50,https://doi.org/10.60807/vw0m1t,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46638~1256072
et002042.jpg,,ET 2-42,https://doi.org/10.60807/7khnh6,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46634~1256076
et003013.jpg,,ET 3-13,https://doi.org/10.60807/wymn9k,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46655~1256055
et003011.jpg,,ET 3-11,https://doi.org/10.60807/8cztcb,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46654~1256056
et002056.jpg,,ET 2-56,https://doi.org/10.60807/r9uhfm,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46641~1256069
et003009.jpg,,ET 3-09,https://doi.org/10.60807/yutvmx,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46653~1256057
et002058.jpg,,ET 2-58,https://doi.org/10.60807/af4ktb,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46642~1256068
et002070.jpg,,ET 2-70,https://doi.org/10.60807/28r3en,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46648~1256062
et002068.jpg,,ET 2-68,https://doi.org/10.60807/8jf2ba,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46647~1256063
et002066.jpg,,ET 2-66,https://doi.org/10.60807/0vzsh0,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46646~1256064
et002038.jpg,,ET 2-38,https://doi.org/10.60807/f6j7b4,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46632~1256078
et002060.jpg,,ET 2-60,https://doi.org/10.60807/bmgfr5,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46643~1256067
et004047.jpg,,ET 4-47,https://doi.org/10.60807/de3rc4,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46677~1256033
et004049.jpg,,ET 4-49,https://doi.org/10.60807/yk1u36,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46678~1256032
et004013.jpg,,ET 4-13,https://doi.org/10.60807/4anh6s,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46670~1256040
et005031.jpg,,ET 5-31,https://doi.org/10.60807/wn8vq6,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46724~1255986
et004051.jpg,,ET 4-51,https://doi.org/10.60807/3hzdjs,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46679~1256031
et005017.jpg,,ET 5-17,https://doi.org/10.60807/esyb24,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46717~1255993
et004053.jpg,,ET 4-53,https://doi.org/10.60807/i0bble,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46680~1256030
et005025.jpg,,ET 5-25,https://doi.org/10.60807/0ghplx,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46721~1255989
et005037.jpg,,ET 5-37,https://doi.org/10.60807/s322i0,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46727~1255983
et004023.jpg,,ET 4-23,https://doi.org/10.60807/21n4f9,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46675~1256035
et004021.jpg,,ET 4-21,https://doi.org/10.60807/6xl2bh,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46674~1256036
et004025.jpg,,ET 4-25,https://doi.org/10.60807/e30xes,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46676~1256034
et004003.jpg,,ET 4-03,https://doi.org/10.60807/rkvuyn,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46665~1256045
et004005.jpg,,ET 4-05,https://doi.org/10.60807/8bhpkq,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46666~1256044
et004011.jpg,,ET 4-11,https://doi.org/10.60807/k4rmnt,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46669~1256041
et004055.jpg,,ET 4-55,https://doi.org/10.60807/n36dg5,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46681~1256029
et004007.jpg,,ET 4-07,https://doi.org/10.60807/t8duyl,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46667~1256043
et004017.jpg,,ET 4-17,https://doi.org/10.60807/jz5eoq,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46672~1256038
et004015.jpg,,ET 4-15,https://doi.org/10.60807/9373y7,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46671~1256039
et005033.jpg,,ET 5-33,https://doi.org/10.60807/3vbeuq,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46725~1255985
et005041.jpg,,ET 5-41,https://doi.org/10.60807/u58af6,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46729~1255981
et005039.jpg,,ET 5-39,https://doi.org/10.60807/j5cjli,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46728~1255982
et004001.jpg,,ET 4-01,https://doi.org/10.60807/etpfxs,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46664~1256046
et005021.jpg,,ET 5-21,https://doi.org/10.60807/i16odf,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46719~1255991
et005019.jpg,,ET 5-19,https://doi.org/10.60807/tbvfr9,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46718~1255992
et004009.jpg,,ET 4-09,https://doi.org/10.60807/h5oo4y,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46668~1256042
et004019.jpg,,ET 4-19,https://doi.org/10.60807/kgnblg,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46673~1256037
et005011.jpg,,ET 5-11,https://doi.org/10.60807/qsgm43,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46714~1255996
et004090.jpg,,ET 4-90,https://doi.org/10.60807/ld47py,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46699~1256011
et005023.jpg,,ET 5-23,https://doi.org/10.60807/v4tpdr,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46720~1255990
et004102.jpg,,ET 4-102,https://doi.org/10.60807/1i302r,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46705~1256005
et005005.jpg,,ET 5-05,https://doi.org/10.60807/rvwrov,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46711~1255999
et004104.jpg,,ET 4-104,https://doi.org/10.60807/r0iygk,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46706~1256004
et004096.jpg,,ET 4-96,https://doi.org/10.60807/0nuak7,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46702~1256008
et005035.jpg,,ET 5-35,https://doi.org/10.60807/f8upv8,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46726~1255984
et004106.jpg,,ET 4-106,https://doi.org/10.60807/lfc4ek,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46707~1256003
et004098.jpg,,ET 4-98,https://doi.org/10.60807/nfl8sb,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46703~1256007
et004092.jpg,,ET 4-92,https://doi.org/10.60807/g3qoj2,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46700~1256010
et004094.jpg,,ET 4-94,https://doi.org/10.60807/n7de2r,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46701~1256009
et005003.jpg,,ET 5-03,https://doi.org/10.60807/lt1qjh,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46710~1256000
et005029.jpg,,ET 5-29,https://doi.org/10.60807/4byult,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46723~1255987
et005027.jpg,,ET 5-27,https://doi.org/10.60807/k6g5bj,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46722~1255988
et005001.jpg,,ET 5-01,https://doi.org/10.60807/761m7o,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46709~1256001
et005015.jpg,,ET 5-15,https://doi.org/10.60807/eejjza,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46716~1255994
et005009.jpg,,ET 5-09,https://doi.org/10.60807/p8id4z,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46713~1255997
et004108.jpg,,ET 4-108,https://doi.org/10.60807/z6fjem,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46708~1256002
et005007.jpg,,ET 5-07,https://doi.org/10.60807/zemls8,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46712~1255998
et005013.jpg,,ET 5-13,https://doi.org/10.60807/mt4g2n,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46715~1255995
et004059.jpg,,ET 4-59,https://doi.org/10.60807/csmgk8,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46683~1256027
et004061.jpg,,ET 4-61,https://doi.org/10.60807/e2g2ce,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46684~1256026
et004070.jpg,,ET 4-70,https://doi.org/10.60807/pzipas,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46689~1256021
et004065.jpg,,ET 4-65,https://doi.org/10.60807/c5wqwk,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46686~1256024
et004063.jpg,,ET 4-63,https://doi.org/10.60807/njbgn3,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46685~1256025
et004068.jpg,,ET 4-68,https://doi.org/10.60807/5i6laz,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46688~1256022
et004088.jpg,,ET 4-88,https://doi.org/10.60807/zsb4rs,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46698~1256012
et004057.jpg,,ET 4-57,https://doi.org/10.60807/ng50wp,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46682~1256028
et004074.jpg,,ET 4-74,https://doi.org/10.60807/ct04ev,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46691~1256019
et004082.jpg,,ET 4-82,https://doi.org/10.60807/ld2ni2,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46695~1256015
et004072.jpg,,ET 4-72,https://doi.org/10.60807/wa1oj8,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46690~1256020
et004086.jpg,,ET 4-86,https://doi.org/10.60807/ick67j,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46697~1256013
et004080.jpg,,ET 4-80,https://doi.org/10.60807/jvv5a7,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46694~1256016
et004084.jpg,,ET 4-84,https://doi.org/10.60807/wass9y,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46696~1256014
et004078.jpg,,ET 4-78,https://doi.org/10.60807/v3yz0c,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46693~1256017
et004100.jpg,,ET 4-100,https://doi.org/10.60807/d84ggp,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46704~1256006
et004076.jpg,,ET 4-76,https://doi.org/10.60807/fitnnr,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46692~1256018
et004067.jpg,,ET 4-67,https://doi.org/10.60807/skedt8,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46687~1256023
et006095.jpg,,ET 6-95,https://doi.org/10.60807/61u3wi,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46757~1255953
et006093.jpg,,ET 6-93,https://doi.org/10.60807/zy38v6,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46756~1255954
et006107.jpg,,ET 6-107,https://doi.org/10.60807/c8qi28,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46764~1255946
et006097.jpg,,ET 6-97,https://doi.org/10.60807/m1svus,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46758~1255952
et006100.jpg,,ET 6-100,https://doi.org/10.60807/111rth,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46760~1255950
et006101.jpg,,ET 6-101,https://doi.org/10.60807/hyhvwc,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46761~1255949
et006103.jpg,,ET 6-103,https://doi.org/10.60807/2dvvnv,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46762~1255948
et006105.jpg,,ET 6-105,https://doi.org/10.60807/ui4xv5,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46763~1255947
et006099.jpg,,ET 6-99,https://doi.org/10.60807/i02tc2,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46759~1255951
et006087.jpg,,ET 6-87,https://doi.org/10.60807/u2b5r0,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46753~1255957
et006046.jpg,,ET 6-46,https://doi.org/10.60807/bwb8ka,Created,,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~46749~1255961
